number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_feature_percentile,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.7837816758582067,2026-09-23 21:51:14.456446,2026-09-23 21:51:16.832417,0 days 00:00:02.375971,0.8496919280087666,80,0.12959906160264845,10,25,452,56,2.6479742962533503,0.28819495704802633,0.7449940544675129,COMPLETE
1,0.7930886612529803,2026-09-23 21:51:16.832442,2026-09-23 21:51:18.612644,0 days 00:00:01.780202,0.8986786591308827,100,0.02994371262802824,3,28,488,78,0.00019560701741474062,1.833589313458619,0.9223400207002955,COMPLETE
2,0.7774552084703283,2026-09-23 21:51:18.612644,2026-09-23 21:51:23.320652,0 days 00:00:04.708008,0.9648956456533588,60,0.04844063304764471,9,17,577,120,0.2316751872747158,0.04593302312454253,0.8222327752558138,COMPLETE
3,0.7938521702691229,2026-09-23 21:51:23.320652,2026-09-23 21:51:25.392459,0 days 00:00:02.071807,0.8176105193931333,100,0.01781177602160391,5,58,430,18,0.27755692175990654,0.253767224740743,0.8946361028189665,COMPLETE
4,0.7878933388872981,2026-09-23 21:51:25.392459,2026-09-23 21:51:27.562904,0 days 00:00:02.170445,0.8748105110396147,100,0.04189797758646248,4,59,440,81,0.3370458820874516,0.04245584550478051,0.9236369714684731,COMPLETE
5,0.7834546259613853,2026-09-23 21:51:27.562904,2026-09-23 21:51:30.590839,0 days 00:00:03.027935,0.8127685657981032,80,0.031579368597923686,12,35,375,114,0.029110646651771623,0.0030425844788220142,0.7127533571525141,COMPLETE
6,0.7885582090563038,2026-09-23 21:51:30.590839,2026-09-23 21:51:33.319781,0 days 00:00:02.728942,0.8668421029655436,80,0.010712205120154307,6,18,441,71,0.06352676811341115,0.20407736322843273,0.8745864635561935,COMPLETE
7,0.7929177137149348,2026-09-23 21:51:33.319781,2026-09-23 21:51:35.313087,0 days 00:00:01.993306,0.9053368719515583,80,0.011311166753707903,4,18,483,103,0.0003239981215201632,0.3612082531527701,0.7241774331294093,COMPLETE
