number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_feature_percentile,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.7805585486319361,2026-09-23 21:50:26.644417,2026-09-23 21:50:32.759406,0 days 00:00:06.114989,0.8312080258383783,100,0.03498541742507621,8,3,431,0.0027365041765365717,2.592987403313544,0.7081106134335416,COMPLETE
1,0.7707588457615207,2026-09-23 21:50:32.759406,2026-09-23 21:50:40.021875,0 days 00:00:07.262469,0.7043233614124468,80,0.12729123721014704,9,8,443,0.001029561655110423,0.020046494004879702,0.7903008096364865,COMPLETE
2,0.7741353172940282,2026-09-23 21:50:40.021875,2026-09-23 21:50:45.313099,0 days 00:00:05.291224,0.9060356837341419,100,0.16236912615920643,8,8,383,0.026442221078919317,0.003658997161909031,0.7039370980778723,COMPLETE
3,0.7945791601017244,2026-09-23 21:50:45.313099,2026-09-23 21:50:49.814406,0 days 00:00:04.501307,0.9679766463182027,60,0.012715221674996044,3,2,522,0.0010033535364431987,0.0335219781564908,0.7873543705446269,COMPLETE
4,0.7902229889996102,2026-09-23 21:50:49.814406,2026-09-23 21:50:55.682720,0 days 00:00:05.868314,0.7457067538030504,60,0.02646161711043889,6,7,582,1.9299660577480142,0.40090252416792727,0.8462205639277398,COMPLETE
5,0.7857058895403933,2026-09-23 21:50:55.682720,2026-09-23 21:51:00.274889,0 days 00:00:04.592169,0.7678107830091228,80,0.027353653487815405,7,4,401,0.1329141539016203,1.8792344506972771,0.7826045601225299,COMPLETE
6,0.7939560560781781,2026-09-23 21:51:00.274889,2026-09-23 21:51:04.221425,0 days 00:00:03.946536,0.8741987542201017,60,0.011019582765555685,4,2,397,0.006584358393643998,0.1524685380407382,0.9377453217804982,COMPLETE
7,0.7862526144392072,2026-09-23 21:51:04.221425,2026-09-23 21:51:07.769329,0 days 00:00:03.547904,0.9497834608753306,60,0.037198949871732515,6,2,320,0.0784957390012557,2.4312361761730537,0.8355017778186727,COMPLETE
